# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Oct 24 16:01:29 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 4.00000 0.5936660171 2.3167756015    0.593  1.238  3.6025  2.335    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.94e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.675 5.796 4.065 2.725 1.875 1.070 0.065 -0.751 -0.886
0.0152 0.01508 4.00000 0.6000000238 2.3211213258    0.600  1.246  3.6031  2.334    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.654 5.764 4.036 2.697 1.848 1.048 0.046 -0.769 -0.903
0.0152 0.01508 4.00000 0.6296511292 2.3401347664    0.630  1.280  3.6053  2.330    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.570 5.631 3.918 2.583 1.739 0.959 -0.033 -0.840 -0.973
0.0152 0.01508 4.00000 0.6499999762 2.3520353107    0.650  1.304  3.6069  2.327    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.511 5.540 3.836 2.504 1.663 0.897 -0.089 -0.890 -1.022
0.0152 0.01508 4.00000 0.6732842326 2.3646428116    0.673  1.328  3.6084  2.324    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.451 5.446 3.752 2.424 1.586 0.834 -0.145 -0.942 -1.072
0.0152 0.01508 4.00000 0.7000000477 2.3779267258    0.700  1.356  3.6101  2.320    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-11      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 1.380 5.338 3.655 2.330 1.496 0.759 -0.212 -1.003 -1.131
0.0152 0.01508 4.00000 0.7350687385 2.3936897369    0.735  1.416  3.6144  2.298    0  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -2.75e-11      0.00 7.092e-01 2.755e-01 2.720e-03 7.402e-04 6.720e-03 -1.000 1.527e-02 1.230 5.093 3.445 2.130 1.308 0.601 -0.353 -1.129 -1.254
0.0152 0.01508 4.00000 0.7500000000 2.3998889087    0.750  1.442  3.6160  2.287    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.164 4.991 3.357 2.045 1.227 0.532 -0.415 -1.185 -1.308
0.0152 0.01508 4.00000 0.7792522311 2.4112457297    0.779  1.466  3.6175  2.286    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.105 4.896 3.276 1.969 1.155 0.471 -0.470 -1.235 -1.357
0.0152 0.01508 4.00000 0.8000000119 2.4187244405    0.800  1.483  3.6186  2.285    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.11e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 1.064 4.829 3.219 1.915 1.104 0.427 -0.510 -1.271 -1.392
0.0152 0.01508 4.00000 0.8500000238 2.4350346840    0.850  1.521  3.6209  2.281    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.32e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.966 4.677 3.089 1.793 0.988 0.326 -0.602 -1.355 -1.474
0.0152 0.01508 4.00000 0.8528129458 2.4358871438    0.852  1.523  3.6210  2.281    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.33e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.961 4.669 3.082 1.786 0.982 0.320 -0.606 -1.359 -1.478
0.0152 0.01508 4.00000 0.9000000358 2.4492786175    0.899  1.560  3.6228  2.275    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.871 4.534 2.966 1.677 0.879 0.226 -0.693 -1.439 -1.557
0.0152 0.01508 4.00000 0.9500000477 2.4618122009    0.950  1.594  3.6247  2.272    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.785 4.401 2.854 1.572 0.780 0.138 -0.774 -1.514 -1.630
0.0152 0.01508 4.00000 1.0000000000 2.4729154477    1.000  1.626  3.6264  2.269    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.704 4.277 2.749 1.473 0.687 0.054 -0.852 -1.585 -1.700
0.0152 0.01508 4.00000 1.0019156933 2.4733155765    1.002  1.627  3.6265  2.269    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.701 4.273 2.745 1.470 0.684 0.051 -0.855 -1.588 -1.702
0.0152 0.01508 4.00000 1.0499999523 2.4828114860    1.050  1.658  3.6279  2.265    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.625 4.160 2.648 1.378 0.597 -0.029 -0.928 -1.656 -1.769
0.0152 0.01508 4.00000 1.1000000238 2.4916801480    1.099  1.689  3.6294  2.260    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.549 4.049 2.552 1.287 0.511 -0.107 -1.001 -1.723 -1.836
0.0152 0.01508 4.00000 1.1475352049 2.4992927777    1.147  1.716  3.6306  2.256    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.480 3.949 2.466 1.206 0.434 -0.178 -1.067 -1.785 -1.896
0.0152 0.01508 4.00000 1.1499999762 2.4996678137    1.149  1.718  3.6307  2.256    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.476 3.944 2.462 1.202 0.430 -0.182 -1.071 -1.788 -1.899
0.0152 0.01508 4.00000 1.2000000477 2.5068948796    1.200  1.742  3.6321  2.255    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.415 3.847 2.381 1.127 0.361 -0.246 -1.129 -1.842 -1.952
0.0152 0.01508 4.00000 1.2056883574 2.5076735156    1.205  1.745  3.6322  2.255    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.39e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.408 3.836 2.373 1.119 0.353 -0.253 -1.135 -1.847 -1.957
0.0152 0.01508 4.00000 1.2500000000 2.5134610955    1.250  1.768  3.6332  2.251    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.349 3.752 2.300 1.051 0.289 -0.313 -1.192 -1.900 -2.010
0.0152 0.01508 4.00000 1.2999999523 2.5194498592    1.300  1.793  3.6343  2.248    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.98e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.286 3.662 2.223 0.978 0.220 -0.378 -1.252 -1.957 -2.065
0.0152 0.01508 4.00000 1.3010866642 2.5195741552    1.301  1.794  3.6344  2.248    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.98e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.285 3.660 2.221 0.976 0.219 -0.379 -1.253 -1.958 -2.066
0.0152 0.01508 4.00000 1.3500001431 2.5249313723    1.350  1.817  3.6354  2.245    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.227 3.576 2.149 0.908 0.154 -0.439 -1.309 -2.010 -2.117
0.0152 0.01508 4.00000 1.4000000954 2.5299650415    1.400  1.840  3.6364  2.241    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.169 3.493 2.078 0.841 0.091 -0.498 -1.365 -2.062 -2.168
0.0152 0.01508 4.00000 1.4116282463 2.5310770691    1.412  1.845  3.6366  2.241    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.157 3.475 2.063 0.827 0.078 -0.511 -1.376 -2.072 -2.179
0.0152 0.01508 4.00000 1.4500000477 2.5346015836    1.450  1.863  3.6373  2.238    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.114 3.414 2.010 0.777 0.031 -0.556 -1.418 -2.112 -2.218
0.0152 0.01508 4.00000 1.5000000000 2.5388844597    1.500  1.883  3.6382  2.236    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-11      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.062 3.339 1.946 0.717 -0.026 -0.609 -1.468 -2.158 -2.264
